node,daodong
1,0.88
2,1.05
3,0.6
4,0.615
5,0.73
6,0.475
7,0.61
8,0.645
9,1.33
10,0.885
11,0.72
12,0.45
13,0.49
14,0.435
15,0.8
16,0.425
17,0.515
18,0.45
19,0.66
20,0.69
21,0.33
22,0.775
23,0.455
24,0.595
25,2.28
26,0.37
27,0.365
28,1.365
29,0.46
30,0.84
31,0.49
32,0.585
33,0.36
34,1.1
35,0.765
36,0.555
37,0.615
38,0.75
39,0.675
40,1.0
41,0.655
42,0.72
43,0.37
44,0.78
45,0.575
46,0.3
47,1.14
48,0.775
49,0.59
50,0.835
51,0.31
52,1.075
53,0.635
54,1.13
55,0.69
56,0.87
57,0.7
58,0.43
59,0.67
60,0.535
61,0.795
62,0.585
63,0.63
64,0.37
65,0.42
66,0.36
67,0.57
68,0.355
69,1.345
70,1.37
71,0.55
72,0.61
73,0.41
74,0.335
75,0.49
76,0.515
77,0.375
78,0.53
79,0.405
80,0.51
81,0.47
82,0.42
83,0.49
84,0.33
85,0.375
86,0.455
87,0.27
88,0.18
89,0.785
90,0.21
91,0.435
92,0.7
93,0.435
94,0.61
95,2.145
96,0.69
97,0.66
98,0.61
99,0.835
100,0.825
101,0.575
102,0.55
103,0.7
104,0.275
105,0.625
106,0.6
107,0.525
108,1.1
109,0.775
110,0.35
111,0.675
112,0.525
113,0.8
114,0.725
115,0.55
116,1.15
117,0.425
118,0.95
119,0.475
120,0.3
121,0.45
122,0.625
123,0.7
124,0.675
125,0.525
126,0.425
127,0.525
128,0.375
129,0.3
130,0.6
131,0.225
132,0.45
133,1.2
134,0.75
135,0.95
136,0.825
137,1.3
138,0.9
139,0.65
140,0.25
141,0.425
142,0.325
143,0.725
144,0.925
145,0.625
146,0.95
147,0.65
148,0.5
149,0.25
150,0.5
151,0.9
152,0.375
153,0.325
154,0.225
155,0.75
156,0.275
157,0.375
158,0.525
159,0.4
160,0.425
161,0.25
162,0.15
163,0.25
164,0.4
165,0.225
166,0.375
167,0.375
168,0.25
169,0.5
170,0.7
171,0.2
172,0.45
173,0.35
174,0.525
175,0.625
176,0.625
177,0.425
178,1.275
179,0.475
180,0.725
181,0.7
182,0.5
183,0.55
184,0.275
185,0.4
186,0.65
187,0.725
188,0.5
189,0.475
190,0.45
191,1.075
192,0.7
193,0.45
194,0.4
195,0.5
196,0.4
197,0.675
198,0.775
199,0.4
200,0.65
201,0.65
202,0.65
203,0.35
204,0.675
205,0.35
206,0.5
207,0.6
208,0.7
209,0.625
210,0.175
211,0.6
212,0.65
213,0.7
214,0.575
215,0.475
216,0.55
217,0.35
218,0.475
219,0.85
220,0.35
221,0.6
222,1.025
223,0.55
224,0.325
225,0.35
226,0.3
227,0.45
228,0.375
229,0.45
230,0.4
231,0.35
232,1.15
233,0.325
234,0.5
235,0.225
236,0.475
237,0.35
238,0.325
239,0.3
240,0.375
241,0.25
242,0.575
243,0.225
244,0.225
245,0.35
246,0.925
247,0.25
248,0.275
249,0.325
250,0.7
251,0.5
252,0.65
253,0.45
254,0.35
255,0.4
256,0.25
257,0.35
258,0.475
259,0.5
260,0.525
261,0.5
262,0.3
263,0.425
264,0.4
265,0.325
266,0.7
267,0.375
268,0.575
269,0.5
270,0.325
271,0.35
272,0.6
273,0.875
274,0.4
275,0.475
276,0.325
277,0.4
278,0.325
279,0.275
280,0.275
281,0.35
282,0.55
283,0.25
284,0.325
285,0.2
286,0.45
287,0.6
288,0.45
289,0.625
290,0.575
291,0.425
292,0.675
293,0.525
294,0.625
295,0.7
296,0.475
297,0.5
298,0.4
299,0.35
300,0.45
301,0.475
302,0.275
303,0.55
304,0.5
305,0.475
306,0.3
